method,model_family,method_role,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,min_class_acc_mean,class2_acc_mean,class4_acc_mean,class5_acc_mean,model_size_mb_total_mean
paired_context_gap_safe_class_balanced_readout_calibrated,mmals_rc2b_candidate,deployable_mmals_paired,0.90975,0.0130934143751735,0.8308333333333334,0.0247916666666666,0.7958333333333334,0.7958333333333334,0.8925000000000001,0.92,2.0107955932617188
paired_context_gap_selected,mmals_rc2b_candidate,deployable_mmals_paired,0.90925,0.0111102430216445,0.83625,0.0228124999999999,0.815,0.8158333333333333,0.9266666666666666,0.8908333333333333,2.0107955932617188
paired_context_temp_blend_selected_head_guard_035,mmals_rc2b_candidate,deployable_mmals_paired,0.90925,0.0111102430216445,0.83625,0.0228124999999999,0.815,0.8158333333333333,0.9266666666666666,0.8908333333333333,2.0107955932617188
paired_rc2o_v1_feature_only_regime_hard_selector_policy,mmals_rc2b_policy,deployable_mmals_paired,0.9086666666666666,0.0119015055070076,0.8283333333333335,0.0264583333333333,0.7925,0.7925,0.905,0.9083333333333332,2.0107955932617188
paired_proto_global_head_ce_kl_guard_035,mmals_rc2b_candidate,deployable_mmals_paired,0.9068333333333332,0.0140408629839242,0.8312499999999999,0.0230208333333333,0.7866666666666666,0.7866666666666666,0.9166666666666666,0.8925000000000001,2.0107955932617188
paired_generic_weak_boundary_latent_calibrated,mmals_rc2b_candidate,deployable_mmals_paired,0.8951666666666668,0.0358855240080639,0.7616666666666667,0.0405208333333333,0.7325,0.7366666666666667,0.9091666666666668,0.9025,2.0107955932617188
paired_context_blend_selected_global,mmals_rc2b_candidate,deployable_mmals_paired,0.8951666666666668,0.0358855240080639,0.7616666666666667,0.0405208333333333,0.7325,0.7366666666666667,0.9091666666666668,0.9025,2.0107955932617188
paired_proto_global_no_repair,mmals_rc2b_candidate,deployable_mmals_paired,0.8943333333333334,0.0356285816912957,0.7620833333333333,0.0390625,0.7308333333333333,0.7374999999999999,0.9133333333333334,0.8966666666666666,2.0107955932617188
paired_context_temp_blend_selected_global,mmals_rc2b_candidate,deployable_mmals_paired,0.8889999999999999,0.0465624580536724,0.7820833333333334,0.0474999999999999,0.7541666666666668,0.7558333333333334,0.9075,0.9025,2.0107955932617188
baseline_joint_upper_bound,joint_upper_bound,diagnostic_upper_bound,0.75325,0.0140066948278314,0.6083333333333334,0.0,0.54,0.6725,0.7374999999999999,0.6166666666666667,0.3162002563476562
baseline_experience_replay,mlp_baseline,deployable_continual_baseline,0.7413333333333334,0.008460693430998,0.60125,0.1875,0.5399999999999999,0.6625,0.7658333333333333,0.7025,0.3162002563476562
baseline_balanced_replay,mlp_baseline,deployable_continual_baseline,0.7413333333333334,0.008460693430998,0.60125,0.1875,0.5399999999999999,0.6625,0.7658333333333333,0.7025,0.3162002563476562
baseline_lwf,mlp_baseline,deployable_continual_baseline,0.2480833333333333,0.0155167919794438,0.0316666666666666,0.0061458333333333,0.0075,0.0541666666666666,0.0233333333333333,0.0583333333333333,0.3162002563476562
baseline_ewc,mlp_baseline,deployable_continual_baseline,0.1919166666666666,0.0007637626158259,0.0,0.9355208333333334,0.0,0.0,0.0,0.0,0.3162002563476562
baseline_hard_top1_moe,hard_top1_moe,deployable_continual_baseline,0.1913333333333333,0.0003818813079129,0.0,0.920625,0.0,0.0,0.0,0.0,1.6990318298339844
baseline_sparse_moe,sparse_moe_soft_entropy,deployable_continual_baseline,0.1910833333333333,0.001040832999733,0.0,0.9344791666666666,0.0,0.0,0.0,0.0,1.6990318298339844
baseline_noisy_topk_moe,noisy_topk_moe,deployable_continual_baseline,0.19075,0.00225,0.0,0.9277083333333334,0.0,0.0,0.0,0.0,1.6990318298339844
baseline_pnn,pnn_fixed_columns,deployable_continual_baseline,0.19075,0.0016393596310755,0.0,0.9289583333333334,0.0,0.0,0.0,0.0,1.5808486938476562
baseline_finetune,mlp_baseline,deployable_continual_baseline,0.1906666666666666,0.001233220715579,0.0,0.9336458333333332,0.0,0.0,0.0,0.0,0.3162002563476562
baseline_dense_moe,dense_moe_soft_no_entropy,deployable_continual_baseline,0.1898333333333333,0.0009464847243,0.0,0.9347916666666666,0.0,0.0,0.0,0.0,1.6990318298339844
