component,seed,after_task,status,rows,error,audit_only,specialization_audit_target_variant,specialization_audit_target_method,specialization_audit_target_policy_family,specialization_audit_model_source,specialization_audit_aligned_to_selected_candidate,specialization_audit_diagnostic_only
route_context_and_confusion,0,4,ok,10,,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
host_ablation,0,4,ok,30,,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
host_probe,0,4,ok,25,,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
prototype_separation,0,4,ok,10,,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
route_context_and_confusion,1,4,ok,10,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
host_ablation,1,4,ok,30,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
host_probe,1,4,ok,25,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
prototype_separation,1,4,ok,10,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
route_context_and_confusion,2,4,ok,10,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
host_ablation,2,4,ok,30,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
host_probe,2,4,ok,25,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
prototype_separation,2,4,ok,10,,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
