epoch,dataset,run_mode,backbone_variant,feature_dim,total_parameters,trainable_parameters,train_epoch_loss,train_epoch_acc,train_items,val_loss,val_acc,val_items,test_loss,test_acc,test_items,diagnostic_only
0,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,1.5137016191482544,0.43678125,32000,1.5309772703647613,0.44875,8000,1.5396108112335205,0.4446,10000,True
1,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,1.1804757947921753,0.5705,32000,1.8343762636184693,0.403125,8000,1.8542714738845825,0.4038,10000,True
2,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,1.0566199543476105,0.61821875,32000,1.7877945947647094,0.44425,8000,1.772862004852295,0.4557,10000,True
3,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.9700966920852662,0.650875,32000,1.5195886092185975,0.51325,8000,1.5142328479766847,0.5144,10000,True
4,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.9008859949111938,0.67871875,32000,1.1234861459732055,0.603125,8000,1.123734391784668,0.5967,10000,True
5,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.8431169016361236,0.69803125,32000,1.3249656085968018,0.5495,8000,1.329311056137085,0.5556,10000,True
6,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.7931069223880768,0.7210625,32000,1.5472767589092256,0.5425,8000,1.531238320159912,0.5459,10000,True
7,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.7471671049594879,0.733125,32000,1.0493101043701172,0.641875,8000,1.0389990341186524,0.6352,10000,True
8,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.7085936224460602,0.7510625,32000,0.9131847500801087,0.674625,8000,0.8996429395675659,0.6855,10000,True
9,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.6694974353313446,0.76396875,32000,1.073660789489746,0.6435,8000,1.06775809841156,0.6456,10000,True
10,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.6372899768352509,0.7789375,32000,0.8429224967956543,0.704625,8000,0.8464925177574157,0.7004,10000,True
11,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.6089696555137635,0.787375,32000,0.7669589648246765,0.732875,8000,0.7641824501037597,0.7307,10000,True
12,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.5854669451713562,0.79659375,32000,0.7581985845565796,0.73525,8000,0.7546704650878906,0.7334,10000,True
13,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.5658611999750137,0.80603125,32000,0.740435423374176,0.742625,8000,0.7314206977844239,0.7448,10000,True
14,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.5526252018213272,0.8118125,32000,0.7426154103279113,0.744,8000,0.731480235671997,0.7453,10000,True
15,SplitCIFAR10,robust,smallcnn_v21_reference,256,129290,129290,0.5482102118730545,0.81246875,32000,0.7268662624359131,0.7445,8000,0.7189910301208496,0.7456,10000,True
0,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,1.548000207901001,0.4233125,32000,1.2760304045677184,0.535625,8000,1.2635438776016235,0.5369,10000,True
1,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,1.2066414256095885,0.56546875,32000,1.0502507445812226,0.6195,8000,1.0524952569961548,0.6183,10000,True
2,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,1.0648556439876555,0.6220625,32000,0.987358720779419,0.6485,8000,0.9825327136039734,0.652,10000,True
3,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.9681423394680023,0.656125,32000,0.9161304605007171,0.678625,8000,0.8993352934837341,0.6795,10000,True
4,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.8860093703269959,0.68546875,32000,0.801666796207428,0.72025,8000,0.7900618343353272,0.7166,10000,True
5,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.8133717308044434,0.7120625,32000,0.6931267983913422,0.755125,8000,0.6930514930725098,0.7557,10000,True
6,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.7511072915792465,0.736125,32000,0.7168449652194977,0.7555,8000,0.7049860101699829,0.7575,10000,True
7,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.7044825313091279,0.754375,32000,0.6667451345920563,0.765125,8000,0.6625485867500305,0.7658,10000,True
8,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.6553633415699005,0.77053125,32000,0.6065070247650146,0.788625,8000,0.6074884359359741,0.7843,10000,True
9,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.6234710285663605,0.7816875,32000,0.55407972407341,0.80575,8000,0.5524507070541382,0.8045,10000,True
10,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.587955899477005,0.7961875,32000,0.5528093357086181,0.8005,8000,0.5571636119842529,0.7979,10000,True
11,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.5470653837919235,0.810125,32000,0.4983409153223038,0.82625,8000,0.49942795600891116,0.8268,10000,True
12,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.5269961087703705,0.8160625,32000,0.4889156513214111,0.830125,8000,0.49108931674957274,0.8272,10000,True
13,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.49896721410751343,0.82353125,32000,0.4533583393096924,0.84125,8000,0.4577523894309998,0.8411,10000,True
14,SplitCIFAR10,robust,smallcnn_a1_aug_norm,256,625482,625482,0.4745245188474655,0.83228125,32000,0.43884541356563567,0.846875,8000,0.4417284126281738,0.8458,10000,True
