method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
baseline_balanced_replay,0,mlp_baseline,0.74675,0.59125,,,,,0.0,4.82844352722168,2.520266532897949,2.2149999141693115,1.684999942779541,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.735,0.69875,0.1815625,0.7066666666666667,0.6641666666666667,0.7175,0.815,0.5875,0.595,0.7275,0.67,0.5875,0.10049999999999999,deployable_continual_baseline
baseline_balanced_replay,1,mlp_baseline,0.746,0.65,,,,,0.0,3.253477096557617,1.6116752624511719,1.7074999809265137,1.8025000095367432,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.75,0.7075,0.18375,0.6666666666666666,0.6816666666666666,0.6025,0.7275,0.67,0.63,0.755,0.66,0.6025,0.1055,deployable_continual_baseline
baseline_balanced_replay,2,mlp_baseline,0.71375,0.53625,,,,,0.0,3.6149072647094727,1.4469090700149536,2.305000066757202,1.7825000286102295,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.7406250000000001,0.68,0.2275,0.6108333333333333,0.6183333333333333,0.625,0.63,0.5775,0.495,0.715,0.645,0.495,0.1075,deployable_continual_baseline
baseline_balanced_replay,3,mlp_baseline,0.7335,0.61125,,,,,0.0,3.811741590499878,1.374061942100525,1.8324999809265137,1.5625,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.728125,0.71875,0.19531249999999997,0.6583333333333333,0.6783333333333333,0.6,0.75,0.625,0.5975,0.7275,0.71,0.5975,0.1025,deployable_continual_baseline
baseline_balanced_replay,4,mlp_baseline,0.753,0.62125,,,,,0.0,4.5952229499816895,2.4683237075805664,1.8524999618530273,1.6174999475479126,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.744375,0.71625,0.17218750000000002,0.7383333333333333,0.6608333333333333,0.7125,0.81,0.6925,0.55,0.745,0.6875,0.55,0.10500000000000001,deployable_continual_baseline
baseline_dense_moe,0,dense_moe_soft_no_entropy,0.192,0.0,0.4541123867034912,,,,0.0,0.4666680097579956,0.960761308670044,8.757499694824219,6.630000114440918,445391,445391,445391.0,,,1.6990318298339844,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9353125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_dense_moe,1,dense_moe_soft_no_entropy,0.18975,0.0,0.4773577332496643,,,,0.0,-2.7340526580810547,-1.0938172340393066,9.444999694824219,6.362500190734863,445391,445391,445391.0,,,1.6990318298339844,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_dense_moe,2,dense_moe_soft_no_entropy,0.19075,0.0,0.0004893036639259662,,,,0.0,3.256450891494751,3.5339999198913574,7.914999961853027,7.512499809265137,445391,445391,445391.0,,,1.6990318298339844,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9356249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_dense_moe,3,dense_moe_soft_no_entropy,0.19125,0.0,0.3542924761772156,,,,0.0,-0.716443657875061,-2.592529535293579,6.972499847412109,9.992500305175781,445391,445391,445391.0,,,1.6990318298339844,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_dense_moe,4,dense_moe_soft_no_entropy,0.189,0.0,0.3594818949699402,,,,0.0,0.3399951159954071,0.5962749719619751,5.690000057220459,4.800000190734863,445391,445391,445391.0,,,1.6990318298339844,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9371875000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_ewc,0,mlp_baseline,0.19,0.0,,,,,0.0,-0.37621161341667175,-1.9928392171859741,6.715000152587891,8.239999771118164,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.94125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_ewc,1,mlp_baseline,0.19,0.0,,,,,0.0,0.5346652269363403,2.0504298210144043,7.877500057220459,4.042500019073486,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9346875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_ewc,2,mlp_baseline,0.19175,0.0,,,,,0.0,-0.16173690557479858,2.3473868370056152,8.59749984741211,3.0174999237060547,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.928125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_ewc,3,mlp_baseline,0.1905,0.0,,,,,0.0,-1.274949073791504,0.7675343155860901,9.989999771118164,4.952499866485596,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.9356249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_ewc,4,mlp_baseline,0.18725,0.0,,,,,0.0,-1.3012328147888184,-1.4806002378463745,6.057499885559082,6.712500095367432,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.0,0.0,0.933125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable_continual_baseline
baseline_experience_replay,0,mlp_baseline,0.74675,0.59125,,,,,0.0,4.82844352722168,2.520266532897949,2.2149999141693115,1.684999942779541,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.735,0.69875,0.1815625,0.7066666666666667,0.6641666666666667,0.7175,0.815,0.5875,0.595,0.7275,0.67,0.5875,0.10049999999999999,deployable_continual_baseline
baseline_experience_replay,1,mlp_baseline,0.746,0.65,,,,,0.0,3.253477096557617,1.6116752624511719,1.7074999809265137,1.8025000095367432,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.75,0.7075,0.18375,0.6666666666666666,0.6816666666666666,0.6025,0.7275,0.67,0.63,0.755,0.66,0.6025,0.1055,deployable_continual_baseline
baseline_experience_replay,2,mlp_baseline,0.71375,0.53625,,,,,0.0,3.6149072647094727,1.4469090700149536,2.305000066757202,1.7825000286102295,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.7406250000000001,0.68,0.2275,0.6108333333333333,0.6183333333333333,0.625,0.63,0.5775,0.495,0.715,0.645,0.495,0.1075,deployable_continual_baseline
baseline_experience_replay,3,mlp_baseline,0.7335,0.61125,,,,,0.0,3.811741590499878,1.374061942100525,1.8324999809265137,1.5625,82890,82890,82890.0,,,0.31620025634765625,False,baseline_sequential_or_joint,baseline_logits,none,0.728125,0.71875,0.19531249999999997,0.6583333333333333,0.6783333333333333,0.6,0.75,0.625,0.5975,0.7275,0.71,0.5975,0.1025,deployable_continual_baseline
