method,seed,after_task,n_seen_classes,pred_entropy,pred_entropy_normalized,effective_predicted_classes,max_pred_mass,dominant_pred_class,min_true_class_recall,zero_recall_classes,collapse_warning,audit_only
baseline_balanced_replay,0,4,10,2.29327892349918,0.9959583819407234,9.907369988859267,0.12475,9,0.5875,[],False,True
baseline_balanced_replay,1,4,10,2.288353425340415,0.9938192652697472,9.858691238183676,0.1335,8,0.6025,[],False,True
baseline_balanced_replay,2,4,10,2.281779486303648,0.9909642398217108,9.79409336687741,0.1365,9,0.495,[],False,True
baseline_balanced_replay,3,4,10,2.2818156201284427,0.9909799325424292,9.794447271325076,0.13975,8,0.5975,[],False,True
baseline_balanced_replay,4,4,10,2.291373868909806,0.9951310272448338,9.888513874859388,0.12525,8,0.55,[],False,True
baseline_dense_moe,0,4,10,0.6931066800111776,0.3010124064991373,1.999919000542737,0.5045,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_dense_moe,1,4,10,0.6436530712963656,0.27953497712409187,1.9034215287944223,0.656,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_dense_moe,2,4,10,0.6474466390326326,0.28118250265867883,1.9106560008484264,0.65,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_dense_moe,3,4,10,0.6794722312199661,0.2950910406253217,1.9728362560412556,0.5825,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_dense_moe,4,4,10,0.6917420222779362,0.300419743175904,1.99719165698129,0.5265,8,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_ewc,0,4,10,0.625923650032344,0.2718351873017891,1.8699723600444083,0.68125,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_ewc,1,4,10,0.6914056693692165,0.3002736669636749,1.9965200087199488,0.5295,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_ewc,2,4,10,0.674986980502339,0.2931431209887036,1.9640074054135686,0.595,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_ewc,3,4,10,0.6773998458387953,0.29419101508990225,1.9687520125497886,0.5885,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_ewc,4,4,10,0.6878848182417383,0.2987445807474083,1.9895029193086786,0.55125,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_experience_replay,0,4,10,2.29327892349918,0.9959583819407234,9.907369988859267,0.12475,9,0.5875,[],False,True
baseline_experience_replay,1,4,10,2.288353425340415,0.9938192652697472,9.858691238183676,0.1335,8,0.6025,[],False,True
baseline_experience_replay,2,4,10,2.281779486303648,0.9909642398217108,9.79409336687741,0.1365,9,0.495,[],False,True
baseline_experience_replay,3,4,10,2.2818156201284427,0.9909799325424292,9.794447271325076,0.13975,8,0.5975,[],False,True
baseline_experience_replay,4,4,10,2.291373868909806,0.9951310272448338,9.888513874859388,0.12525,8,0.55,[],False,True
baseline_finetune,0,4,10,0.6764003593658197,0.29375694362995197,1.9667852545823217,0.59125,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
baseline_finetune,1,4,10,0.6833852488672842,0.296790442597142,1.9805711225915712,0.56975,9,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,True
