seed,after_task,true_context,pred_context,count,rate,audit_only,specialization_audit_target_variant,specialization_audit_target_method,specialization_audit_target_policy_family,specialization_audit_model_source,specialization_audit_aligned_to_selected_candidate,specialization_audit_diagnostic_only
0,4,0,0,512,1.0,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
0,4,1,1,512,1.0,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
0,4,2,2,512,1.0,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
0,4,3,3,512,1.0,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
0,4,4,4,512,1.0,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True
1,4,0,0,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
1,4,1,1,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
1,4,2,2,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
1,4,3,3,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
1,4,4,4,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
2,4,0,0,512,1.0,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True
2,4,1,1,512,1.0,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True
2,4,2,2,512,1.0,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True
2,4,3,3,512,1.0,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True
2,4,4,4,512,1.0,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True
3,4,0,0,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,1,1,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,2,2,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,3,3,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,4,4,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,0,0,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,1,1,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,2,2,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,3,3,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,4,4,512,1.0,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
