seed,after_task,task_id,route_entropy_mean,route_entropy_normalized,route_dominance_mean,effective_hosts_from_mean_route,context_entropy_mean,context_dominance_mean,context_top1_task_acc,n_items,audit_only,specialization_audit_target_variant,specialization_audit_target_method,specialization_audit_target_policy_family,specialization_audit_model_source,specialization_audit_aligned_to_selected_candidate,specialization_audit_diagnostic_only,route_mass_host0,route_mass_host1,route_mass_host2,route_mass_host3,route_mass_host4
0,4,0,0.6560547351837158,0.40762972595289754,0.77811598777771,2.6825501918792725,0.07891793549060822,0.9839730262756348,1.0,512,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True,0.002217092551290989,0.06256131827831268,0.5840164422988892,0.3142135739326477,0.03699162229895592
0,4,1,0.6849830150604248,0.42560387683701467,0.8126441836357117,2.0318117141723633,0.11463417112827301,0.9768238067626953,1.0,512,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True,0.09316426515579224,0.01655915006995201,0.03289299085736275,0.8126442432403564,0.044739462435245514
0,4,2,0.8290989398956299,0.5151481355634947,0.7500737309455872,2.4166343212127686,0.08213629573583603,0.9839346408843994,1.0,512,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True,0.05061168968677521,0.7496146559715271,0.11193940043449402,0.057561419904232025,0.030272824689745903
0,4,3,1.2366068363189697,0.7683470277202157,0.4690849184989929,3.7268519401550293,0.0673244446516037,0.9873490929603577,1.0,512,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True,0.38922202587127686,0.06482947617769241,0.13363038003444672,0.3698810040950775,0.042437128722667694
0,4,4,0.5716350078582764,0.35517680019960535,0.8444101810455322,1.851940631866455,0.04254516214132309,0.99256432056427,1.0,512,True,proto_global_no_repair,paired_proto_global_no_repair,proto_no_repair,selected_policy_candidate,True,True,0.014613146893680096,0.8444101810455322,0.07225784659385681,0.052279338240623474,0.01643945835530758
1,4,0,0.5268737077713013,0.32736504073926154,0.8466190695762634,1.7858765125274658,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.04707837849855423,0.006408615969121456,0.08985160291194916,0.01004239171743393,0.8466190099716187
1,4,1,0.46645665168762207,0.2898258131512243,0.8764885663986206,1.618299961090088,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.006621876731514931,0.8764885663986206,0.06701691448688507,0.049552302807569504,0.00032037857454270124
1,4,2,0.21259431540966034,0.1320922750528068,0.9508097767829895,1.2491018772125244,4.484155085839415e-44,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.9508097171783447,0.0007445825031027198,0.042032089084386826,0.00490035442635417,0.0015132430708035827
1,4,3,0.9531786441802979,0.5922431905053849,0.6426243185997009,2.6773600578308105,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.03493402153253555,0.23221683502197266,0.08205986768007278,0.6426243185997009,0.008164939470589161
1,4,4,0.7774885892868042,0.48308082174536143,0.7101880311965942,2.6338164806365967,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.5969099998474121,0.03151264786720276,0.3150293827056885,0.04732336848974228,0.00922457780689001
2,4,0,0.6387957334518433,0.3969061052412603,0.7554979920387268,2.2327494621276855,0.0,1.0,1.0,512,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True,0.016420014202594757,0.22283825278282166,0.7095431089401245,0.0011700766626745462,0.05002852529287338
2,4,1,0.12726669013500214,0.07907524058664996,0.9760981798171997,1.1388832330703735,4.919711487221905e-28,1.0,1.0,512,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True,0.0008540796115994453,0.9760981202125549,0.0009793943027034402,0.018685270100831985,0.003383075352758169
2,4,2,0.7960205674171448,0.49459538716423673,0.7533206343650818,2.323847532272339,1.0401992619358962e-25,1.0,1.0,512,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True,0.04885748773813248,0.1332758367061615,0.009623061865568161,0.05867274850606918,0.749570906162262
2,4,3,0.9772893786430359,0.6072240321249744,0.5444269776344299,2.793809175491333,0.0,1.0,1.0,512,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True,0.013850072398781776,0.3676496744155884,0.00374952657148242,0.5102720260620117,0.10447873175144196
2,4,4,0.5472524762153625,0.34002708149685784,0.864884614944458,1.7640347480773926,0.0,1.0,1.0,512,True,context_temp_blend_selected_head_guard_035,paired_context_temp_blend_selected_head_guard_035,rc1b_guarded_context_gap,selected_policy_candidate,True,True,0.05808672681450844,0.0378667488694191,0.014676377177238464,0.0244855135679245,0.864884614944458
3,4,0,0.6428214907646179,0.399407448897746,0.7951757907867432,2.07901668548584,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.012075729668140411,0.08234958350658417,0.09517260640859604,0.7943779230117798,0.016024162992835045
3,4,1,0.45761823654174805,0.284334197054952,0.8806888461112976,1.5984337329864502,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.0806005597114563,0.008040091022849083,0.8806888461112976,0.002437216229736805,0.02823326736688614
3,4,2,0.6395387649536133,0.39736777667078826,0.824065625667572,1.9212167263031006,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.053383324295282364,0.8240656852722168,0.09420846402645111,0.005215697921812534,0.02312687784433365
3,4,3,1.2077869176864624,0.7504402054626734,0.5511534214019775,3.542510747909546,0.0,1.0,1.0,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True,0.5507371425628662,0.07563057541847229,0.17874015867710114,0.05354905128479004,0.14134302735328674
