short_name,n_selected,mean_validation_score,mean_validation_final_avg_acc,mean_validation_min_task_acc,mean_validation_avg_forgetting
balanced_replay,5,0.7238333333333333,0.6973333333333334,0.5576666666666666,0.11706666666666661
dense_moe,5,0.00429999999999998,0.1737333333333333,0.0,0.6777333333333333
ewc,5,0.00511666666666663,0.17526666666666663,0.0,0.6806
experience_replay,5,0.7238333333333333,0.6973333333333334,0.5576666666666666,0.11706666666666661
finetune,5,0.00404999999999994,0.17333333333333328,0.0,0.6771333333333334
hard_top1_moe,5,0.00499999999999998,0.17286666666666667,0.0,0.6714666666666667
joint_upper_bound,5,,,,
lwf,5,0.22886666666666663,0.2285333333333333,0.01899999999999996,0.00626666666666664
noisy_topk_moe,5,0.00594999999999995,0.17506666666666662,0.0,0.6764666666666667
pnn,5,0.006166666666666621,0.17459999999999998,0.0,0.6737333333333334
sparse_moe,5,0.00664999999999996,0.17586666666666664,0.0,0.6768666666666666
