method,seed,after_task,n_seen_classes,pred_entropy,pred_entropy_normalized,effective_predicted_classes,max_pred_mass,dominant_pred_class,min_true_class_recall,zero_recall_classes,collapse_warning,audit_only
baseline_balanced_replay,0,4,10,2.29327892349918,0.9959583819407234,9.907369988859267,0.12475,9,0.5875,[],False,True
baseline_balanced_replay,1,4,10,2.288353425340415,0.9938192652697472,9.858691238183676,0.1335,8,0.6025,[],False,True
baseline_balanced_replay,2,4,10,2.281779486303648,0.9909642398217108,9.79409336687741,0.1365,9,0.495,[],False,True
baseline_balanced_replay,3,4,10,2.2818156201284427,0.9909799325424292,9.794447271325076,0.13975,8,0.5975,[],False,True
baseline_balanced_replay,4,4,10,2.291373868909806,0.9951310272448338,9.888513874859388,0.12525,8,0.55,[],False,True
baseline_joint_upper_bound,0,4,10,2.2998995942062725,0.998833702695312,9.97318103938336,0.11125,4,0.6025,[],False,True
baseline_joint_upper_bound,1,4,10,2.2984437634584927,0.9982014434349664,9.958672339441325,0.12225,6,0.5525,[],False,True
baseline_joint_upper_bound,2,4,10,2.2924831984811487,0.99561280295628,9.89948958243032,0.13125,6,0.53,[],False,True
baseline_joint_upper_bound,3,4,10,2.286082797079448,0.9928331439455554,9.836331210504383,0.141,2,0.575,[],False,True
baseline_joint_upper_bound,4,4,10,2.297648284821198,0.9978559714523172,9.95075357835969,0.1215,0,0.6375,[],False,True
baseline_lwf,0,4,10,1.0664713834655557,0.4631626369468176,2.905110372231365,0.63,0,0.0,[4],True,True
baseline_lwf,1,4,10,0.9577341890511796,0.415938673435013,2.6057855619913943,0.6445,0,0.0,[3],True,True
baseline_lwf,2,4,10,1.2629462413129664,0.548490583542674,3.5358235457597207,0.484,0,0.0025,[],False,True
baseline_lwf,3,4,10,0.7835478988812781,0.3402905287910261,2.18922565449554,0.74575,0,0.0,"[3, 4, 5, 7]",True,True
baseline_lwf,4,4,10,0.7532372372295666,0.3271267756928513,2.123864352628817,0.6905,0,0.0,"[3, 4]",True,True
paired_context_gap_safe_class_balanced_readout_calibrated,0,4,10,2.3012153634204746,0.9994051340044984,9.986312080778228,0.11275,0,0.8525,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,1,4,10,2.302135066469584,0.999804555963716,9.99550074722286,0.1055,5,0.8325,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,2,4,10,2.3013160584478696,0.999448865299251,9.987317703376524,0.108,8,0.8275,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,3,4,10,2.3020905856401463,0.9997852381849408,9.995056148947103,0.106,5,0.8325,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,4,4,10,2.301323774347498,0.9994522162718826,9.98739476481478,0.11175,8,0.87,[],False,True
paired_context_temp_blend_selected_head_guard_035,0,4,10,2.3010380068117184,0.9993281090079864,9.98454109938587,0.10975,0,0.825,[],False,True
paired_context_temp_blend_selected_head_guard_035,1,4,10,2.3023102333383543,0.9998806299682352,9.997251781147632,0.104,9,0.825,[],False,True
paired_context_temp_blend_selected_head_guard_035,2,4,10,2.300406496600645,0.9990538476080516,9.978237750252877,0.114,8,0.825,[],False,True
paired_context_temp_blend_selected_head_guard_035,3,4,10,2.30217451324983,0.9998216874827058,9.995895045321133,0.10375,4,0.8425,[],False,True
paired_context_temp_blend_selected_head_guard_035,4,4,10,2.3002212920168743,0.9989734142792968,9.976389906003474,0.117,8,0.825,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,0,4,10,2.3006079397162598,0.9991413332415804,9.98024800002232,0.11275,0,0.845,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,1,4,10,2.302135066469584,0.999804555963716,9.99550074722286,0.1055,5,0.8325,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,2,4,10,2.300406496600645,0.9990538476080516,9.978237750252877,0.114,8,0.825,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,3,4,10,2.3020905856401463,0.9997852381849408,9.995056148947103,0.106,5,0.8325,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,4,4,10,2.301323774347498,0.9994522162718826,9.98739476481478,0.11175,8,0.87,[],False,True
